"","Date","box","Team","R","RA"
"122","Sunday, May 3","boxscore","BAL",4,2
"123","Tuesday, May 5","boxscore","BAL",2,3
"124","Wednesday, May 6","boxscore","BAL",1,5
"125","Thursday, May 7","boxscore","BAL",3,4
"126","Friday, May 8","boxscore","BAL",4,5
"127","Saturday, May 9","boxscore","BAL",6,2
"128","Sunday, May 10","boxscore","BAL",2,6
"129","Monday, May 11","boxscore","BAL",5,2
"130","Tuesday, May 12","boxscore","BAL",2,10
"131","Wednesday, May 13","boxscore","BAL",6,1
"132","Friday, May 15","boxscore","BAL",1,3
"133","Saturday, May 16","boxscore","BAL",1,6
"134","Sunday, May 17","boxscore","BAL",3,0
"135","Tuesday, May 19","boxscore","BAL",9,4
"136","Wednesday, May 20","boxscore","BAL",2,4
"137","Thursday, May 21","boxscore","BAL",5,4
"138","Friday, May 22","boxscore","BAL",8,5
"139","Saturday, May 23","boxscore","BAL",0,1
"140","Sunday, May 24","boxscore","BAL",2,5
"141","Monday, May 25","boxscore","BAL",4,3
"142","Tuesday, May 26","boxscore","BAL",1,4
"143","Wednesday, May 27","boxscore","BAL",5,4
"144","Thursday, May 28 (1)","boxscore","BAL",2,3
"145","Thursday, May 28 (2)","boxscore","BAL",6,3
"146","Friday, May 29","boxscore","BAL",2,1
"147","Saturday, May 30","boxscore","BAL",0,3
"148","Sunday, May 31","boxscore","BAL",5,9
"149","Monday, Apr 6","boxscore","BOS",8,0
"150","Wednesday, Apr 8","boxscore","BOS",2,4
"151","Thursday, Apr 9","boxscore","BOS",6,2
"152","Friday, Apr 10","boxscore","BOS",6,5
"153","Saturday, Apr 11","boxscore","BOS",8,4
"154","Sunday, Apr 12","boxscore","BOS",4,14
"155","Monday, Apr 13","boxscore","BOS",9,4
"156","Tuesday, Apr 14","boxscore","BOS",8,7
"157","Wednesday, Apr 15","boxscore","BOS",5,10
"158","Friday, Apr 17","boxscore","BOS",3,2
"159","Saturday, Apr 18","boxscore","BOS",1,4
"160","Sunday, Apr 19","boxscore","BOS",3,8
"161","Monday, Apr 20","boxscore","BOS",7,1
"162","Tuesday, Apr 21","boxscore","BOS",1,0
"163","Wednesday, Apr 22","boxscore","BOS",5,7
"164","Thursday, Apr 23","boxscore","BOS",1,2
"165","Friday, Apr 24","boxscore","BOS",7,5
"166","Saturday, Apr 25","boxscore","BOS",4,5
"167","Sunday, Apr 26","boxscore","BOS",7,18
"168","Monday, Apr 27","boxscore","BOS",6,5
"169","Tuesday, Apr 28","boxscore","BOS",8,11
"170","Wednesday, Apr 29","boxscore","BOS",4,1
"171","Friday, May 1","boxscore","BOS",2,3
"172","Saturday, May 2","boxscore","BOS",2,4
"173","Sunday, May 3","boxscore","BOS",5,8
"174","Monday, May 4","boxscore","BOS",1,5
"175","Tuesday, May 5","boxscore","BOS",2,0
"176","Wednesday, May 6","boxscore","BOS",3,5
"177","Friday, May 8","boxscore","BOS",0,7
"178","Saturday, May 9","boxscore","BOS",1,7
"179","Sunday, May 10","boxscore","BOS",6,3
"180","Monday, May 11","boxscore","BOS",5,4
"181","Tuesday, May 12","boxscore","BOS",2,9
"182","Wednesday, May 13","boxscore","BOS",2,0
"183","Thursday, May 14","boxscore","BOS",2,1
"184","Friday, May 15","boxscore","BOS",1,2
"185","Saturday, May 16","boxscore","BOS",4,2
"186","Sunday, May 17","boxscore","BOS",0,5
"187","Tuesday, May 19","boxscore","BOS",4,3
"188","Wednesday, May 20","boxscore","BOS",1,2
"189","Thursday, May 21","boxscore","BOS",1,3
"190","Friday, May 22","boxscore","BOS",5,12
"191","Saturday, May 23","boxscore","BOS",8,3
"192","Sunday, May 24","boxscore","BOS",6,1
"193","Monday, May 25","boxscore","BOS",2,7
"194","Tuesday, May 26","boxscore","BOS",1,2
"195","Wednesday, May 27","boxscore","BOS",4,6
"196","Thursday, May 28","boxscore","BOS",5,1
"197","Friday, May 29","boxscore","BOS",4,7
"198","Saturday, May 30","boxscore","BOS",0,8
"199","Sunday, May 31","boxscore","BOS",3,4
"200","Sunday, Apr 5","boxscore","CHC",0,3
"201","Wednesday, Apr 8","boxscore","CHC",2,0
"202","Friday, Apr 10","boxscore","CHC",1,5
"203","Saturday, Apr 11","boxscore","CHC",9,5
"204","Sunday, Apr 12","boxscore","CHC",6,5
"205","Monday, Apr 13","boxscore","CHC",7,6
"206","Tuesday, Apr 14","boxscore","CHC",2,3
"207","Wednesday, Apr 15","boxscore","CHC",5,0
"208","Friday, Apr 17","boxscore","CHC",4,5
"209","Saturday, Apr 18","boxscore","CHC",7,6
"210","Sunday, Apr 19","boxscore","CHC",2,5
"211","Monday, Apr 20","boxscore","CHC",5,2
"212","Tuesday, Apr 21","boxscore","CHC",9,8
"213","Wednesday, Apr 22","boxscore","CHC",3,4
"214","Thursday, Apr 23","boxscore","CHC",4,5
"215","Friday, Apr 24","boxscore","CHC",7,3
"216","Sunday, Apr 26","boxscore","CHC",5,2
"217","Monday, Apr 27","boxscore","CHC",4,0
